key	category	name	offer-2023-12-08	default-2023-12-08	offer-2023-12-09	default-2023-12-09
BTY-X35088800320021	non-food/reinigung/folien-beutel	METRO PROFESSIONAL Aluminiumfolie 13 My 29 cm x 300 m - 1 Packung	44.02	44.02		
BTY-X30890800320021	non-food/reinigung/folien-beutel	aro Gefrierbeutel 20 l - 25 Stück	5.34	5.34	5.34	5.34
BTY-X30890800320022	non-food/reinigung/folien-beutel	aro Gefrierbeutel 20 l - 15 x 25 Stück	80.15	80.15	80.15	80.15
BTY-X35776500320021	non-food/reinigung/folien-beutel	aro Müllbeutel mit Griff 50 L 10 My - 6 Rollen à 20 Stück Packung	4.75	4.75	4.75	4.75
BTY-X3765900320021	non-food/reinigung/folien-beutel	aro Müllsäcke 70 x 110 cm Transparent 120 l Polyethylen (PE), High Density Polyethylen (HDPE) 40 My - 2 x 25 Stück	9.98	9.98	9.98	9.98
BTY-X36636200320023	non-food/reinigung/folien-beutel	aro Abfallsäcke 57,5 x 100 cm Blau 70 l 40 My 3 Rollen à 25 Stück - 3er Tray	34.59	34.59	34.59	34.59
BTY-X36636200320021	non-food/reinigung/folien-beutel	aro Abfallsäcke 57,5 x 100 cm Blau 70 l 40 My 3 Rollen à 25 Stück	11.53	11.53	11.53	11.53
BTY-X30878000320021	non-food/reinigung/folien-beutel	aro Gefrierbeutel 1 l transparent 3 Packungen à 100 Beutel	7.37	7.37	7.37	7.37
BTY-X30878000320022	non-food/reinigung/folien-beutel	aro Gefrierbeutel 1 l transparent 3 Packungen à 100 Beutel - 8 je Karton	58.93	58.93	58.93	58.93
BTY-X35175400320021	non-food/reinigung/folien-beutel	METRO PROFESSIONAL Ziplock Bag 60 My 5 l 27,5 x 40 cm 12 Stück - 1 Packung	3.2	3.2	3.2	3.2
BTY-X8188100320021	non-food/reinigung/folien-beutel	aro Papiersack 70 x 90 cm - 10 Stück	11.41	11.41	11.41	11.41
BTY-X12381000320021	non-food/reinigung/folien-beutel	Toppits Backpapier-Bögen Ungebleicht - 42 cm	3.44	3.44	3.44	3.44
BTY-X15695300320021	non-food/reinigung/folien-beutel	Toppits Zipper XL Vorratspack 1 l	5.22	5.22	5.22	5.22
BTY-X17881600320021	non-food/reinigung/folien-beutel	Toppits Doppelverschluß-Gefrierbeutel 30 x 35 cm 6 l	5.22	5.22	5.22	5.22
BTY-X28996200320022	non-food/reinigung/folien-beutel	PAPSTAR Siegelrandbeutel 25 x 40 cm 90 My	23.07	23.07	23.07	23.07
BTY-X1110500320021	non-food/reinigung/folien-beutel	Toppits Alufolie Silber Aluminium - 24 m	5.22	5.22	5.22	5.22
BTY-X16374900320021	non-food/reinigung/folien-beutel	Pely Clean Bio Papiertüten 10 l 10 Stück	2.37	2.37	2.37	2.37
BTY-X22136000320021	non-food/reinigung/folien-beutel	Toppits Aroma Schutz Gefrierbeutel 29 x 47 cm 6 l	4.99	4.99	4.99	4.99
BTY-X17881700320021	non-food/reinigung/folien-beutel	Toppits Doppelverschluß-Gefrierbeutel 27 x 24,4 cm 3 l	5.22	5.22	5.22	5.22
BTY-X6195600320023	non-food/reinigung/folien-beutel	PAPSTAR Müllbeutel Weiß 60 l High Density Polyethylen (HDPE) 10 My - 150 x	1069.22	1069.22	1069.22	1069.22
BTY-X6195600320021	non-food/reinigung/folien-beutel	PAPSTAR Müllbeutel Weiß 60 l High Density Polyethylen (HDPE) 10 My	7.13	7.13	7.13	7.13
BTY-X6195600320022	non-food/reinigung/folien-beutel	PAPSTAR Müllbeutel Weiß 60 l High Density Polyethylen (HDPE) 10 My - 5 x	32.43	32.43	32.43	32.43
BTY-X60157900320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel 65 x 63,5 cm Dunkelgrau 35 l Kunststoff	15.66	15.66	15.66	15.66
BTY-X45771700320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel 68 x 73 cm 60 l Kunststoff	8.18	8.18	8.18	8.18
BTY-X22134500320021	non-food/reinigung/folien-beutel	Toppits Gefrierbeutel 3 l	4.99	4.99	4.99	4.99
BTY-X17882400320021	non-food/reinigung/folien-beutel	Toppits Zipper XL Vorratspack 6 l	5.22	5.22	5.22	5.22
BTY-X29137700320022	non-food/reinigung/folien-beutel	PAPSTAR Müllbeutel 53 x 62 cm Weiß 30 l Low Density Polyethylen (LDPE) 17 My - 9 x	29.88	29.88	29.88	29.88
BTY-X22134800320021	non-food/reinigung/folien-beutel	Toppits Alufolie Silber Aluminium - 10 m	4.51	4.51	4.51	4.51
